epoch,lr,jepa,lnn,hnn,sup,sup_theta,sup_omega,total
1,0.0001,1.0423723235726357,0.0,0.1141695212572813,1.0328490436077118,0.5087199062108994,0.5241291485726833,1.0528149828314781
2,9.728616793536588e-05,0.8417657688260078,0.0,0.09420986019540578,1.0035887658596039,0.4780386704951525,0.5255501139909029,0.8518958538770676
3,8.9471999940354e-05,0.7164555042982101,0.0,0.03819019415823277,1.0062500685453415,0.4790848698467016,0.5271652042865753,0.7265561893582344
4,7.75e-05,0.6074575781822205,0.0,0.007443444264936261,0.998655378818512,0.474998127669096,0.5236572548747063,0.6174515560269356
5,6.281416799501188e-05,0.5251777395606041,0.0,0.008767930979956873,0.9961089417338371,0.4718934968113899,0.5242154579609632,0.5351475849747658
6,4.7185832004988135e-05,0.46841439977288246,0.0,0.006943844695342705,0.9946357980370522,0.47106789611279964,0.5235678907483816,0.4783677011728287
7,3.250000000000001e-05,0.43443702906370163,0.0,0.002595545185613446,0.9931879043579102,0.47115715220570564,0.5220307465642691,0.4443714991211891
8,2.0528000059645997e-05,0.4146597608923912,0.0,0.002127787061908748,0.9930075258016586,0.4711125046014786,0.5218950305134058,0.4245919696986675
9,1.2713832064634127e-05,0.403079379349947,0.0,0.001173844822915271,0.9927254915237427,0.4712144862860441,0.5215109921991825,0.41300780326128006
10,1e-05,0.3953258879482746,0.0,0.001134211546741426,0.9923064336180687,0.47095755115151405,0.5213488806039095,0.40525007992982864
