epoch,lr,jepa,lnn,hnn,sup,sup_theta,sup_omega,sup_fd,total
1,0.0001,0.8856169700622558,0.45531062881151835,0.0,1.0182697852452596,0.4743663564324379,0.5439034367601077,0.0,0.8962549726168315
2,9.728616793536588e-05,0.6141234636306763,0.2019439645111561,0.0,1.0232748508453369,0.46829522401094437,0.5549796392520269,0.0,0.6245581626892089
3,8.9471999940354e-05,0.43844256599744164,0.07744545234988133,0.0,1.0078415393829345,0.467659884194533,0.5401816554367542,0.0,0.4485984265804291
4,7.75e-05,0.3436715284983317,0.04863822267701228,0.0,1.00925102631251,0.4662547071774801,0.5429963273306687,0.0,0.3538126766681671
5,6.281416799501188e-05,0.3037947118282318,0.029940177189807095,0.0,1.003432071208954,0.46251677672068275,0.5409152877827486,0.0,0.31385897397994994
6,4.7185832004988135e-05,0.2873748779296875,0.0249514764174819,0.0,0.9930094003677368,0.45630937119325005,0.5367000336448352,0.0,0.2973299205303192
7,3.250000000000001e-05,0.28008224765459694,0.02142769517377019,0.0,0.9826444586118063,0.44960446407397586,0.5330399965246518,0.0,0.28993011713027955
8,2.0528000059645997e-05,0.2756295382976532,0.019444651529192926,0.0,0.9712074041366577,0.441827787955602,0.5293796094755332,0.0,0.28536105950673424
9,1.2713832064634127e-05,0.2731075048446655,0.018441086479773123,0.0,0.96231077114741,0.4350514809290568,0.5272592738270759,0.0,0.2827490508556366
10,1e-05,0.2714277009169261,0.017794955087204776,0.0,0.9556541403134664,0.4290885925292969,0.5265655413269996,0.0,0.2810020407040914
